"No.","Time","Source","Destination","Length","wsize","ack_rtt"
"1","1563741515.710883","192.168.121.214","137.50.19.137","70","14600",""
"2","1563741516.472821","137.50.19.137","192.168.121.214","58","8192","0.761938000"
"3","1563741516.472869","192.168.121.214","137.50.19.137","54","14600","0.000048000"
"4","1563741516.477893","192.168.121.214","137.50.19.137","314","14600",""
"5","1563741516.480231","137.50.19.137","192.168.121.214","54","8192","0.002338000"
"6","1563741517.221209","137.50.19.137","192.168.121.214","1514","8192",""
"7","1563741517.221242","192.168.121.214","137.50.19.137","54","17520","0.000033000"
"8","1563741517.250860","137.50.19.137","192.168.121.214","1514","8192",""
"9","1563741517.250885","192.168.121.214","137.50.19.137","54","20440","0.000025000"
"10","1563741517.260763","137.50.19.137","192.168.121.214","1230","8192",""
"11","1563741517.260803","192.168.121.214","137.50.19.137","54","23360","0.000040000"
"12","1563741517.270537","137.50.19.137","192.168.121.214","533","8192",""
"13","1563741517.270570","192.168.121.214","137.50.19.137","54","26280","0.000033000"
"14","1563741517.272523","192.168.121.214","137.50.19.137","134","26280",""
"15","1563741517.272873","192.168.121.214","137.50.19.137","171","26280",""
"16","1563741517.274704","137.50.19.137","192.168.121.214","54","8192","0.002181000"
"17","1563741517.275263","137.50.19.137","192.168.121.214","54","8192","0.002390000"
"18","1563741518.071107","137.50.19.137","192.168.121.214","357","8192",""
"19","1563741518.071356","137.50.19.137","192.168.121.214","357","8192",""
"20","1563741518.071633","192.168.121.214","137.50.19.137","54","32120","0.000277000"
"21","1563741518.081344","137.50.19.137","192.168.121.214","1514","8192",""
"22","1563741518.081652","137.50.19.137","192.168.121.214","1514","8192",""
"23","1563741518.081672","192.168.121.214","137.50.19.137","54","37960","0.000020000"
"24","1563741518.082130","137.50.19.137","192.168.121.214","1514","8192",""
"25","1563741518.083747","137.50.19.137","192.168.121.214","1514","8192",""
"26","1563741518.083773","192.168.121.214","137.50.19.137","54","43800","0.000026000"
