"Time","Source","Destination","ack_rtt","wsize"
"1562687090.106026","88.210.175.226","137.50.19.227","","65535"
"1562687090.106078","137.50.19.227","88.210.175.226","0.000052000","29200"
"1562687090.131497","88.210.175.226","137.50.19.227","0.025419000","65535"
"1562687091.588018","88.210.175.226","137.50.19.227","","65535"
"1562687091.588076","137.50.19.227","88.210.175.226","0.000058000","30016"
"1562687091.591646","137.50.19.227","88.210.175.226","","30016"
"1562687091.591918","137.50.19.227","88.210.175.226","","30016"
"1562687091.618418","88.210.175.226","137.50.19.227","","65535"
"1562687091.619934","88.210.175.226","137.50.19.227","0.028288000","65535"
"1562687091.619946","88.210.175.226","137.50.19.227","0.028028000","65535"
"1562687092.669254","88.210.175.226","137.50.19.227","","65535"
"1562687092.669593","137.50.19.227","88.210.175.226","0.000339000","30016"
"1562687092.694816","88.210.175.226","137.50.19.227","0.025223000","65535"
"1562687093.718567","88.210.175.226","137.50.19.227","","65535"
"1562687093.739373","137.50.19.227","88.210.175.226","0.020806000","31088"
"1562687093.739388","137.50.19.227","88.210.175.226","","31088"
"1562687093.739394","137.50.19.227","88.210.175.226","","31088"
"1562687093.739617","137.50.19.227","88.210.175.226","","31088"
"1562687093.739631","137.50.19.227","88.210.175.226","","31088"
"1562687093.772347","88.210.175.226","137.50.19.227","","65535"
"1562687093.772367","137.50.19.227","88.210.175.226","","31088"
"1562687093.772940","88.210.175.226","137.50.19.227","0.033567000","65535"
"1562687093.772958","137.50.19.227","88.210.175.226","","31088"
"1562687093.772972","88.210.175.226","137.50.19.227","","65535"
"1562687093.772997","137.50.19.227","88.210.175.226","","31088"
"1562687093.773619","88.210.175.226","137.50.19.227","0.034231000","65535"
"1562687093.773631","137.50.19.227","88.210.175.226","","31088"
"1562687093.774449","88.210.175.226","137.50.19.227","","65535"
"1562687093.774461","137.50.19.227","88.210.175.226","","31088"
"1562687093.774470","88.210.175.226","137.50.19.227","0.035076000","65535"
"1562687093.774493","137.50.19.227","88.210.175.226","","31088"
"1562687093.774823","88.210.175.226","137.50.19.227","","65535"
"1562687093.774837","137.50.19.227","88.210.175.226","","31088"
"1562687093.778285","88.210.175.226","137.50.19.227","0.038668000","65535"
"1562687093.778311","137.50.19.227","88.210.175.226","","31088"
"1562687093.779517","88.210.175.226","137.50.19.227","","65535"
"1562687093.779535","137.50.19.227","88.210.175.226","","31088"
"1562687093.781817","88.210.175.226","137.50.19.227","0.042186000","65535"
"1562687093.781825","137.50.19.227","88.210.175.226","","31088"
"1562687093.806115","88.210.175.226","137.50.19.227","","65535"
"1562687093.806132","137.50.19.227","88.210.175.226","","31088"
"1562687093.806143","88.210.175.226","137.50.19.227","0.033776000","65535"
"1562687093.806168","137.50.19.227","88.210.175.226","","31088"
"1562687093.806171","88.210.175.226","137.50.19.227","","65535"
"1562687093.806177","88.210.175.226","137.50.19.227","0.033219000","65535"
"1562687093.806180","88.210.175.226","137.50.19.227","","65535"
"1562687093.806409","137.50.19.227","88.210.175.226","","31088"
"1562687093.806420","137.50.19.227","88.210.175.226","","31088"
"1562687093.806492","137.50.19.227","88.210.175.226","","31088"
"1562687093.807068","88.210.175.226","137.50.19.227","0.034071000","65535"
"1562687093.807081","137.50.19.227","88.210.175.226","","31088"
"1562687093.808060","88.210.175.226","137.50.19.227","","65535"
"1562687093.808068","137.50.19.227","88.210.175.226","","31088"
"1562687093.809550","88.210.175.226","137.50.19.227","0.035919000","65535"
