"No.","Time","Source","Destination","Length","wsize","ack_rtt"
"1","1563773646.810404","10.8.0.6","137.50.19.137","56","29200",""
"2","1563773647.469549","137.50.19.137","10.8.0.6","56","28960","0.659145000"
"3","1563773647.469577","10.8.0.6","137.50.19.137","52","29200","0.000028000"
"4","1563773647.471185","10.8.0.6","137.50.19.137","312","29200",""
"5","1563773648.079477","137.50.19.137","10.8.0.6","52","30016","0.608292000"
"6","1563773648.109772","137.50.19.137","10.8.0.6","1398","30016",""
"7","1563773648.109787","10.8.0.6","137.50.19.137","52","30958","0.000015000"
"8","1563773648.130110","137.50.19.137","10.8.0.6","1398","30016",""
"9","1563773648.130131","10.8.0.6","137.50.19.137","52","33650","0.000021000"
"10","1563773648.140144","137.50.19.137","10.8.0.6","1398","30016",""
"11","1563773648.140166","10.8.0.6","137.50.19.137","52","37688","0.000022000"
"12","1563773648.140199","137.50.19.137","10.8.0.6","110","30016",""
"13","1563773648.140207","10.8.0.6","137.50.19.137","52","37688","0.000008000"
"14","1563773648.150235","137.50.19.137","10.8.0.6","531","30016",""
"15","1563773648.150258","10.8.0.6","137.50.19.137","52","40380","0.000023000"
"16","1563773648.151955","10.8.0.6","137.50.19.137","132","40380",""
"17","1563773648.152264","10.8.0.6","137.50.19.137","169","40380",""
"18","1563773648.759796","137.50.19.137","10.8.0.6","355","30016","0.607841000"
"19","1563773648.769875","137.50.19.137","10.8.0.6","355","30016",""
"20","1563773648.769980","10.8.0.6","137.50.19.137","52","45764","0.000105000"
"21","1563773648.800128","137.50.19.137","10.8.0.6","1398","30016","0.647864000"
"22","1563773648.800183","137.50.19.137","10.8.0.6","1398","30016",""
"23","1563773648.800202","10.8.0.6","137.50.19.137","52","51148","0.000019000"
"24","1563773648.810442","137.50.19.137","10.8.0.6","1398","30016",""
"25","1563773648.830544","137.50.19.137","10.8.0.6","1398","30016",""
"26","1563773648.830568","10.8.0.6","137.50.19.137","52","56532","0.000024000"
"27","1563773648.849946","137.50.19.137","10.8.0.6","1398","30016",""
"28","1563773648.849992","137.50.19.137","10.8.0.6","1398","30016",""
"29","1563773648.850008","10.8.0.6","137.50.19.137","52","63262","0.000016000"
"30","1563773648.850082","137.50.19.137","10.8.0.6","1398","30016",""
"31","1563773648.870379","137.50.19.137","10.8.0.6","1398","30016",""
"32","1563773648.870403","10.8.0.6","137.50.19.137","52","64608","0.000024000"
"33","1563773649.390117","137.50.19.137","10.8.0.6","1398","30016",""
"34","1563773649.390160","137.50.19.137","10.8.0.6","1398","30016",""
"35","1563773649.390178","10.8.0.6","137.50.19.137","52","64608","0.000018000"
"36","1563773649.390198","137.50.19.137","10.8.0.6","1398","30016",""
"37","1563773649.410367","137.50.19.137","10.8.0.6","1398","30016",""
"38","1563773649.410389","10.8.0.6","137.50.19.137","52","64608","0.000022000"
"39","1563773649.430010","137.50.19.137","10.8.0.6","1398","30016",""
"40","1563773649.430102","137.50.19.137","10.8.0.6","1398","30016",""
"41","1563773649.430118","10.8.0.6","137.50.19.137","52","64608","0.000016000"
"42","1563773649.430142","137.50.19.137","10.8.0.6","1398","30016",""
"43","1563773649.460659","137.50.19.137","10.8.0.6","1398","30016",""
"44","1563773649.460680","10.8.0.6","137.50.19.137","52","64608","0.000021000"
"45","1563773649.480128","137.50.19.137","10.8.0.6","1398","30016",""
"46","1563773649.480174","137.50.19.137","10.8.0.6","1398","30016",""
"47","1563773649.480193","10.8.0.6","137.50.19.137","52","64608","0.000019000"
"48","1563773649.480215","137.50.19.137","10.8.0.6","1398","30016",""
"49","1563773649.480238","137.50.19.137","10.8.0.6","1398","30016",""
"50","1563773649.480245","10.8.0.6","137.50.19.137","52","64608","0.000007000"
"51","1563773649.480266","137.50.19.137","10.8.0.6","1398","30016",""
"52","1563773649.511675","137.50.19.137","10.8.0.6","1398","30016",""
"53","1563773649.511699","10.8.0.6","137.50.19.137","52","64608","0.000024000"
"54","1563773649.520565","137.50.19.137","10.8.0.6","1398","30016",""
"55","1563773649.520611","137.50.19.137","10.8.0.6","1398","30016",""
"56","1563773649.520628","10.8.0.6","137.50.19.137","52","64608","0.000017000"
"57","1563773649.520651","137.50.19.137","10.8.0.6","1398","30016",""
"58","1563773649.530547","137.50.19.137","10.8.0.6","1398","30016",""
"59","1563773649.530572","10.8.0.6","137.50.19.137","52","64608","0.000025000"
