"No.","Time","Source","Destination","Length","wsize","ack_rtt"
"1","1563305804.743828","10.8.0.6","137.50.19.137","60","29200",""
"2","1563305804.744422","137.50.19.137","10.8.0.6","60","28960","0.000594000"
"3","1563305805.371755","10.8.0.6","137.50.19.137","52","229","0.627333000"
"4","1563305805.372541","10.8.0.6","137.50.19.137","273","229",""
"5","1563305805.373006","137.50.19.137","10.8.0.6","52","235","0.000465000"
"6","1563305805.375009","137.50.19.137","10.8.0.6","1398","235",""
"7","1563305805.375016","137.50.19.137","10.8.0.6","1398","235",""
"8","1563305805.375019","137.50.19.137","10.8.0.6","1398","235",""
"9","1563305805.375020","137.50.19.137","10.8.0.6","110","235",""
"10","1563305805.375028","137.50.19.137","10.8.0.6","384","235",""
"11","1563305806.043566","10.8.0.6","137.50.19.137","52","251","0.668557000"
"12","1563305806.043601","10.8.0.6","137.50.19.137","52","274","0.668585000"
"13","1563305806.044617","10.8.0.6","137.50.19.137","52","296","0.669598000"
"14","1563305806.044667","10.8.0.6","137.50.19.137","52","296","0.669647000"
"15","1563305806.088502","10.8.0.6","137.50.19.137","52","318","0.713474000"
"16","1563305806.089279","10.8.0.6","137.50.19.137","178","318",""
"17","1563305806.090386","137.50.19.137","10.8.0.6","326","235","0.001107000"
"18","1563305806.720594","10.8.0.6","137.50.19.137","237","339","0.630208000"
"19","1563305806.727124","137.50.19.137","10.8.0.6","1398","243","0.006530000"
"20","1563305806.727131","137.50.19.137","10.8.0.6","1398","243",""
"21","1563305806.727133","137.50.19.137","10.8.0.6","1398","243",""
"22","1563305806.727136","137.50.19.137","10.8.0.6","1398","243",""
"23","1563305806.727138","137.50.19.137","10.8.0.6","1398","243",""
"24","1563305806.727140","137.50.19.137","10.8.0.6","1398","243",""
"25","1563305806.727191","137.50.19.137","10.8.0.6","1398","243",""
"26","1563305806.727193","137.50.19.137","10.8.0.6","1398","243",""
"27","1563305806.727195","137.50.19.137","10.8.0.6","1398","243",""
"28","1563305806.727197","137.50.19.137","10.8.0.6","1398","243",""
"29","1563305807.387337","10.8.0.6","137.50.19.137","52","384","0.660206000"
"30","1563305807.387369","10.8.0.6","137.50.19.137","52","429","0.660233000"
"31","1563305807.387879","137.50.19.137","10.8.0.6","1398","243",""
"32","1563305807.387884","137.50.19.137","10.8.0.6","1398","243",""
"33","1563305807.387885","137.50.19.137","10.8.0.6","1398","243",""
"34","1563305807.387887","137.50.19.137","10.8.0.6","1398","243",""
"35","1563305807.387895","137.50.19.137","10.8.0.6","1398","243",""
"36","1563305807.387896","137.50.19.137","10.8.0.6","1398","243",""
"37","1563305807.387897","137.50.19.137","10.8.0.6","1398","243",""
"38","1563305807.387909","137.50.19.137","10.8.0.6","1398","243",""
"39","1563305807.431938","10.8.0.6","137.50.19.137","52","474","0.704798000"
"40","1563305807.432001","10.8.0.6","137.50.19.137","52","520","0.704808000"
"41","1563305807.432151","10.8.0.6","137.50.19.137","52","565","0.704954000"
"42","1563305807.432395","137.50.19.137","10.8.0.6","1398","243",""
"43","1563305807.432399","137.50.19.137","10.8.0.6","1398","243",""
"44","1563305807.432402","137.50.19.137","10.8.0.6","1398","243",""
"45","1563305807.432404","137.50.19.137","10.8.0.6","1398","243",""
"46","1563305807.432551","137.50.19.137","10.8.0.6","1398","243",""
"47","1563305807.432553","137.50.19.137","10.8.0.6","1398","243",""
"48","1563305807.432555","137.50.19.137","10.8.0.6","1398","243",""
"49","1563305807.432557","137.50.19.137","10.8.0.6","1398","243",""
"50","1563305807.432662","137.50.19.137","10.8.0.6","1398","243",""
"51","1563305807.432664","137.50.19.137","10.8.0.6","1398","243",""
"52","1563305807.432667","137.50.19.137","10.8.0.6","1398","243",""
"53","1563305807.432669","137.50.19.137","10.8.0.6","1398","243",""
"54","1563305808.106799","10.8.0.6","137.50.19.137","52","610","0.718915000"
"55","1563305808.107430","137.50.19.137","10.8.0.6","1398","243",""
"56","1563305808.107437","137.50.19.137","10.8.0.6","1398","243",""
"57","1563305808.107439","137.50.19.137","10.8.0.6","1398","243",""
"58","1563305808.107442","137.50.19.137","10.8.0.6","1398","243",""
"59","1563305808.151775","10.8.0.6","137.50.19.137","52","655","0.763888000"
"60","1563305808.151835","10.8.0.6","137.50.19.137","52","701","0.763939000"
"61","1563305808.152312","137.50.19.137","10.8.0.6","1398","243",""
"62","1563305808.152316","137.50.19.137","10.8.0.6","1398","243",""
"63","1563305808.152318","137.50.19.137","10.8.0.6","1398","243",""
"64","1563305808.152320","137.50.19.137","10.8.0.6","1398","243",""
"65","1563305808.152350","137.50.19.137","10.8.0.6","1398","243",""
"66","1563305808.152351","137.50.19.137","10.8.0.6","1398","243",""
"67","1563305808.152353","137.50.19.137","10.8.0.6","1398","243",""
"68","1563305808.152354","137.50.19.137","10.8.0.6","1398","243",""
"69","1563305808.197534","10.8.0.6","137.50.19.137","52","746","0.809625000"
"70","1563305808.197567","10.8.0.6","137.50.19.137","52","791","0.765168000"
"71","1563305808.198121","137.50.19.137","10.8.0.6","1398","243",""
"72","1563305808.198126","137.50.19.137","10.8.0.6","1398","243",""
"73","1563305808.198127","137.50.19.137","10.8.0.6","1398","243",""
"74","1563305808.198129","137.50.19.137","10.8.0.6","1398","243",""
"75","1563305808.198169","137.50.19.137","10.8.0.6","1398","243",""
"76","1563305808.198171","137.50.19.137","10.8.0.6","1398","243",""
"77","1563305808.198172","137.50.19.137","10.8.0.6","1398","243",""
"78","1563305808.198174","137.50.19.137","10.8.0.6","1398","243",""
"79","1563305808.198284","10.8.0.6","137.50.19.137","52","836","0.765880000"
"80","1563305808.198855","137.50.19.137","10.8.0.6","1398","243",""
"81","1563305808.198861","137.50.19.137","10.8.0.6","1398","243",""
"82","1563305808.198863","137.50.19.137","10.8.0.6","1398","243",""
"83","1563305808.198866","137.50.19.137","10.8.0.6","1398","243",""
"84","1563305808.246073","10.8.0.6","137.50.19.137","52","882","0.813520000"
"85","1563305808.246123","10.8.0.6","137.50.19.137","52","927","0.813566000"
"86","1563305808.246692","137.50.19.137","10.8.0.6","1398","243",""
"87","1563305808.246696","137.50.19.137","10.8.0.6","1398","243",""
"88","1563305808.246698","137.50.19.137","10.8.0.6","1398","243",""
"89","1563305808.246699","137.50.19.137","10.8.0.6","1398","243",""
"90","1563305808.246708","137.50.19.137","10.8.0.6","1398","243",""
"91","1563305808.246710","137.50.19.137","10.8.0.6","1398","243",""
"92","1563305808.246711","137.50.19.137","10.8.0.6","1398","243",""
"93","1563305808.246713","137.50.19.137","10.8.0.6","1398","243",""
"94","1563305808.246755","10.8.0.6","137.50.19.137","52","972","0.814091000"
"95","1563305808.247233","137.50.19.137","10.8.0.6","1398","243",""
"96","1563305808.247236","137.50.19.137","10.8.0.6","1398","243",""
"97","1563305808.247237","137.50.19.137","10.8.0.6","1398","243",""
"98","1563305808.247239","137.50.19.137","10.8.0.6","1398","243",""
"99","1563305808.468819","10.8.0.6","137.50.19.137","52","1017","1.036150000"
"100","1563305808.469391","137.50.19.137","10.8.0.6","1398","243",""
"101","1563305808.469395","137.50.19.137","10.8.0.6","1398","243",""
"102","1563305808.737536","10.8.0.6","137.50.19.137","52","1063","0.630099000"
"103","1563305808.737588","10.8.0.6","137.50.19.137","52","1108","0.630146000"
"104","1563305808.738044","137.50.19.137","10.8.0.6","1398","243",""
"105","1563305808.738048","137.50.19.137","10.8.0.6","1398","243",""
"106","1563305808.738054","137.50.19.137","10.8.0.6","1398","243",""
"107","1563305808.738056","137.50.19.137","10.8.0.6","1398","243",""
"108","1563305808.782726","10.8.0.6","137.50.19.137","52","1153","0.630410000"
"109","1563305808.782757","10.8.0.6","137.50.19.137","52","1198","0.630437000"
"110","1563305808.783226","137.50.19.137","10.8.0.6","1398","243",""
"111","1563305808.783231","137.50.19.137","10.8.0.6","1398","243",""
"112","1563305808.783232","137.50.19.137","10.8.0.6","1398","243",""
"113","1563305808.783234","137.50.19.137","10.8.0.6","1398","243",""
"114","1563305808.827442","10.8.0.6","137.50.19.137","52","1244","0.675091000"
"115","1563305808.827474","10.8.0.6","137.50.19.137","52","1289","0.675120000"
"116","1563305808.827975","137.50.19.137","10.8.0.6","1398","243",""
"117","1563305808.827979","137.50.19.137","10.8.0.6","1381","243",""
"118","1563305808.828825","10.8.0.6","137.50.19.137","52","1334","0.630699000"
"119","1563305808.874426","10.8.0.6","137.50.19.137","52","1379","0.676297000"
"120","1563305808.874458","10.8.0.6","137.50.19.137","52","1425","0.676287000"
"121","1563305808.875806","10.8.0.6","137.50.19.137","52","1444","0.677632000"
"122","1563305808.917820","10.8.0.6","137.50.19.137","52","1444","0.718959000"
"123","1563305808.917851","10.8.0.6","137.50.19.137","52","1444","0.671153000"
"124","1563305808.918596","10.8.0.6","137.50.19.137","52","1444","0.671888000"
"125","1563305808.962778","10.8.0.6","137.50.19.137","52","1444","0.716065000"
"126","1563305808.962810","10.8.0.6","137.50.19.137","52","1444","0.715573000"
"127","1563305809.007323","10.8.0.6","137.50.19.137","52","1444","0.760084000"
