"No.","Time","Source","Destination","Length","wsize","ack_rtt"
"1","1563801020.471640","10.8.0.6","137.50.19.137","56","29200",""
"2","1563801021.156514","137.50.19.137","10.8.0.6","56","28960","0.684874000"
"3","1563801021.156545","10.8.0.6","137.50.19.137","52","29200","0.000031000"
"4","1563801021.159029","10.8.0.6","137.50.19.137","312","29200",""
"5","1563801021.866754","137.50.19.137","10.8.0.6","52","30016","0.707725000"
"6","1563801021.866850","137.50.19.137","10.8.0.6","1398","30016",""
"7","1563801021.866869","10.8.0.6","137.50.19.137","52","30958","0.000019000"
"8","1563801021.866909","137.50.19.137","10.8.0.6","1398","30016",""
"9","1563801021.866922","10.8.0.6","137.50.19.137","52","33650","0.000013000"
"10","1563801021.866982","137.50.19.137","10.8.0.6","1398","30016",""
"11","1563801021.866989","10.8.0.6","137.50.19.137","52","37688","0.000007000"
"12","1563801021.867004","137.50.19.137","10.8.0.6","110","30016",""
"13","1563801021.867013","10.8.0.6","137.50.19.137","52","37688","0.000009000"
"14","1563801021.876200","137.50.19.137","10.8.0.6","531","30016",""
"15","1563801021.876214","10.8.0.6","137.50.19.137","52","40380","0.000014000"
"16","1563801021.877725","10.8.0.6","137.50.19.137","132","40380",""
"17","1563801021.878031","10.8.0.6","137.50.19.137","167","40380",""
"18","1563801022.586719","137.50.19.137","10.8.0.6","355","30016","0.708994000"
"19","1563801022.586761","137.50.19.137","10.8.0.6","355","30016",""
"20","1563801022.587007","10.8.0.6","137.50.19.137","52","45764","0.000246000"
"21","1563801022.626780","137.50.19.137","10.8.0.6","1398","30016","0.748749000"
"22","1563801022.626799","137.50.19.137","10.8.0.6","1398","30016",""
"23","1563801022.626805","10.8.0.6","137.50.19.137","52","51148","0.000006000"
"24","1563801022.626812","137.50.19.137","10.8.0.6","1398","30016",""
"25","1563801022.626819","137.50.19.137","10.8.0.6","1398","30016",""
"26","1563801022.626822","10.8.0.6","137.50.19.137","52","56532","0.000003000"
"27","1563801022.637044","137.50.19.137","10.8.0.6","1398","30016",""
"28","1563801022.637075","137.50.19.137","10.8.0.6","1398","30016",""
"29","1563801022.637097","10.8.0.6","137.50.19.137","52","63262","0.000022000"
"30","1563801022.637117","137.50.19.137","10.8.0.6","1398","30016",""
"31","1563801022.637125","137.50.19.137","10.8.0.6","1398","30016",""
"32","1563801022.637129","10.8.0.6","137.50.19.137","52","64608","0.000004000"
"33","1563801023.256925","137.50.19.137","10.8.0.6","1398","30016",""
