"No.","Time","Source","Destination","Length","wsize","ack_rtt"
"1","1563798629.927713","192.168.121.214","137.50.19.137","70","14600",""
"2","1563798630.669458","137.50.19.137","192.168.121.214","58","8192","0.741745000"
"3","1563798630.669503","192.168.121.214","137.50.19.137","54","14600","0.000045000"
"4","1563798630.671818","192.168.121.214","137.50.19.137","314","14600",""
"5","1563798630.674130","137.50.19.137","192.168.121.214","54","8192","0.002312000"
"6","1563798631.360204","137.50.19.137","192.168.121.214","1514","8192",""
"7","1563798631.360225","192.168.121.214","137.50.19.137","54","17520","0.000021000"
"8","1563798631.360675","137.50.19.137","192.168.121.214","1514","8192",""
"9","1563798631.360687","192.168.121.214","137.50.19.137","54","20440","0.000012000"
"10","1563798631.368580","137.50.19.137","192.168.121.214","1230","8192",""
"11","1563798631.368583","192.168.121.214","137.50.19.137","54","23360","0.000003000"
"12","1563798631.369412","137.50.19.137","192.168.121.214","533","8192",""
"13","1563798631.369415","192.168.121.214","137.50.19.137","54","26280","0.000003000"
"14","1563798631.369857","192.168.121.214","137.50.19.137","134","26280",""
"15","1563798631.369911","192.168.121.214","137.50.19.137","169","26280",""
"16","1563798631.371452","137.50.19.137","192.168.121.214","54","8192","0.001595000"
"17","1563798631.372154","137.50.19.137","192.168.121.214","54","8192","0.002243000"
"18","1563798632.039506","137.50.19.137","192.168.121.214","357","8192",""
"19","1563798632.039930","137.50.19.137","192.168.121.214","357","8192",""
"20","1563798632.039998","192.168.121.214","137.50.19.137","54","32120","0.000068000"
"21","1563798632.041477","137.50.19.137","192.168.121.214","1514","8192",""
"22","1563798632.042738","137.50.19.137","192.168.121.214","2974","8192",""
"23","1563798632.042767","192.168.121.214","137.50.19.137","54","40880","0.000029000"
"24","1563798632.044998","137.50.19.137","192.168.121.214","2974","8192",""
"25","1563798632.045032","192.168.121.214","137.50.19.137","54","46720","0.000034000"
"26","1563798632.045086","137.50.19.137","192.168.121.214","1514","8192",""
"27","1563798632.045199","137.50.19.137","192.168.121.214","1514","8192",""
"28","1563798632.045215","192.168.121.214","137.50.19.137","54","52560","0.000016000"
"29","1563798632.080119","137.50.19.137","192.168.121.214","1514","8192",""
"30","1563798632.090663","137.50.19.137","192.168.121.214","1514","8192",""
"31","1563798632.090695","192.168.121.214","137.50.19.137","54","58400","0.000032000"
"32","1563798632.090821","137.50.19.137","192.168.121.214","1514","8192",""
"33","1563798632.091151","137.50.19.137","192.168.121.214","1514","8192",""
"34","1563798632.091168","192.168.121.214","137.50.19.137","54","64240","0.000017000"
"35","1563798632.092778","137.50.19.137","192.168.121.214","1514","8192",""
"36","1563798632.092940","137.50.19.137","192.168.121.214","1514","8192",""
"37","1563798632.092961","192.168.121.214","137.50.19.137","54","64240","0.000021000"
"38","1563798632.095737","137.50.19.137","192.168.121.214","2974","8192",""
"39","1563798632.095764","192.168.121.214","137.50.19.137","54","64240","0.000027000"
"40","1563798632.095968","137.50.19.137","192.168.121.214","1514","8192",""
"41","1563798632.096657","137.50.19.137","192.168.121.214","1514","8192",""
"42","1563798632.096683","192.168.121.214","137.50.19.137","54","64240","0.000026000"
"43","1563798632.097355","137.50.19.137","192.168.121.214","1514","8192",""
"44","1563798632.098873","137.50.19.137","192.168.121.214","1514","8192",""
"45","1563798632.098899","192.168.121.214","137.50.19.137","54","64240","0.000026000"
"46","1563798632.099677","137.50.19.137","192.168.121.214","1514","8192",""
"47","1563798632.100288","137.50.19.137","192.168.121.214","1514","8192",""
"48","1563798632.100312","192.168.121.214","137.50.19.137","54","64240","0.000024000"
"49","1563798632.100528","137.50.19.137","192.168.121.214","1514","8192",""
"50","1563798632.105244","137.50.19.137","192.168.121.214","2974","8192",""
"51","1563798632.105280","192.168.121.214","137.50.19.137","54","64240","0.000036000"
"52","1563798632.105370","137.50.19.137","192.168.121.214","1514","8192",""
"53","1563798632.105965","137.50.19.137","192.168.121.214","1514","8192",""
"54","1563798632.105988","192.168.121.214","137.50.19.137","54","64240","0.000023000"
"55","1563798632.107353","137.50.19.137","192.168.121.214","1514","8192",""
"56","1563798632.107510","137.50.19.137","192.168.121.214","1514","8192",""
"57","1563798632.107532","192.168.121.214","137.50.19.137","54","64240","0.000022000"
"58","1563798632.109331","137.50.19.137","192.168.121.214","2974","8192",""
"59","1563798632.109357","192.168.121.214","137.50.19.137","54","64240","0.000026000"
"60","1563798632.109542","137.50.19.137","192.168.121.214","1514","8192",""
"61","1563798632.131149","137.50.19.137","192.168.121.214","1514","8192",""
"62","1563798632.131178","192.168.121.214","137.50.19.137","54","64240","0.000029000"
"63","1563798632.131255","137.50.19.137","192.168.121.214","1514","8192",""
"64","1563798632.131579","137.50.19.137","192.168.121.214","1514","8192",""
