"No.","Time","Source","Destination","Length","wsize","ack_rtt"
"1","1563304571.531242","88.210.175.226","137.50.19.227","62","65535",""
"2","1563304571.531303","137.50.19.227","88.210.175.226","62","29200","0.000061000"
"3","1563304571.556310","88.210.175.226","137.50.19.227","60","65535","0.025007000"
"4","1563304572.291411","88.210.175.226","137.50.19.227","283","65535",""
"5","1563304572.291443","137.50.19.227","88.210.175.226","54","30016","0.000032000"
"6","1563304572.292787","137.50.19.227","88.210.175.226","2974","30016",""
"7","1563304572.293033","137.50.19.227","88.210.175.226","127","30016",""
"8","1563304572.325775","88.210.175.226","137.50.19.227","60","65535",""
"9","1563304572.325894","88.210.175.226","137.50.19.227","60","65535","0.033107000"
"10","1563304572.325898","88.210.175.226","137.50.19.227","60","65535","0.032865000"
"11","1563304573.186487","88.210.175.226","137.50.19.227","180","65535",""
"12","1563304573.186757","137.50.19.227","88.210.175.226","328","30016","0.000270000"
"13","1563304573.222808","88.210.175.226","137.50.19.227","60","65535","0.036051000"
"14","1563304574.029681","88.210.175.226","137.50.19.227","249","65535",""
"15","1563304574.034048","137.50.19.227","88.210.175.226","2974","31088","0.004367000"
"16","1563304574.034064","137.50.19.227","88.210.175.226","2974","31088",""
"17","1563304574.034087","137.50.19.227","88.210.175.226","2974","31088",""
"18","1563304574.034335","137.50.19.227","88.210.175.226","2974","31088",""
"19","1563304574.034348","137.50.19.227","88.210.175.226","2974","31088",""
"20","1563304574.059774","88.210.175.226","137.50.19.227","60","65535",""
"21","1563304574.059804","137.50.19.227","88.210.175.226","2974","31088",""
"22","1563304574.063230","88.210.175.226","137.50.19.227","60","65535","0.029182000"
"23","1563304574.063259","137.50.19.227","88.210.175.226","2974","31088",""
"24","1563304574.063785","88.210.175.226","137.50.19.227","60","65535",""
"25","1563304574.063805","137.50.19.227","88.210.175.226","2974","31088",""
"26","1563304574.066549","88.210.175.226","137.50.19.227","60","65535","0.032485000"
"27","1563304574.066568","137.50.19.227","88.210.175.226","2974","31088",""
"28","1563304574.067434","88.210.175.226","137.50.19.227","60","65535",""
"29","1563304574.067445","137.50.19.227","88.210.175.226","2974","31088",""
"30","1563304574.069543","88.210.175.226","137.50.19.227","60","65535","0.035456000"
"31","1563304574.069561","137.50.19.227","88.210.175.226","2974","31088",""
"32","1563304574.070164","88.210.175.226","137.50.19.227","60","65535",""
"33","1563304574.070175","137.50.19.227","88.210.175.226","2974","31088",""
"34","1563304574.072140","88.210.175.226","137.50.19.227","60","65535","0.037805000"
"35","1563304574.072153","137.50.19.227","88.210.175.226","2974","31088",""
"36","1563304574.072763","88.210.175.226","137.50.19.227","60","65535",""
"37","1563304574.072776","137.50.19.227","88.210.175.226","2974","31088",""
"38","1563304574.075029","88.210.175.226","137.50.19.227","60","65535","0.040681000"
"39","1563304574.075036","137.50.19.227","88.210.175.226","2974","31088",""
"40","1563304574.085821","88.210.175.226","137.50.19.227","60","65535",""
"41","1563304574.085845","137.50.19.227","88.210.175.226","2974","31088",""
