"No.","Time","Source","Destination","Length","wsize","ack_rtt"
"1","1563559092.636153","10.8.0.6","137.50.19.137","56","29200",""
"2","1563559093.306481","137.50.19.137","10.8.0.6","56","28960","0.670328000"
"3","1563559093.306516","10.8.0.6","137.50.19.137","52","29200","0.000035000"
"4","1563559093.308547","10.8.0.6","137.50.19.137","273","29200",""
"5","1563559093.976369","137.50.19.137","10.8.0.6","52","30016","0.667822000"
"6","1563559093.976407","137.50.19.137","10.8.0.6","1398","30016",""
"7","1563559093.976438","137.50.19.137","10.8.0.6","1398","30016",""
"8","1563559093.976466","10.8.0.6","137.50.19.137","52","30958","0.000059000"
"9","1563559093.976555","10.8.0.6","137.50.19.137","52","33650","0.000117000"
"10","1563559093.976632","137.50.19.137","10.8.0.6","1398","30016",""
"11","1563559093.976642","10.8.0.6","137.50.19.137","52","37688","0.000010000"
"12","1563559093.976658","137.50.19.137","10.8.0.6","110","30016",""
"13","1563559093.976663","10.8.0.6","137.50.19.137","52","37688","0.000005000"
"14","1563559093.985452","137.50.19.137","10.8.0.6","384","30016",""
"15","1563559093.985491","10.8.0.6","137.50.19.137","52","40380","0.000039000"
"16","1563559093.987138","10.8.0.6","137.50.19.137","178","40380",""
"17","1563559094.695722","137.50.19.137","10.8.0.6","326","30016","0.708584000"
"18","1563559094.697693","10.8.0.6","137.50.19.137","235","43072","0.001971000"
"19","1563559095.377486","137.50.19.137","10.8.0.6","1398","31088","0.679793000"
"20","1563559095.377546","137.50.19.137","10.8.0.6","1398","31088",""
"21","1563559095.377557","10.8.0.6","137.50.19.137","52","48456","0.000011000"
"22","1563559095.377570","137.50.19.137","10.8.0.6","1398","31088",""
"23","1563559095.377587","137.50.19.137","10.8.0.6","1398","31088",""
"24","1563559095.377594","10.8.0.6","137.50.19.137","52","53840","0.000007000"
"25","1563559095.377613","137.50.19.137","10.8.0.6","1398","31088",""
"26","1563559095.377653","137.50.19.137","10.8.0.6","1398","31088",""
"27","1563559095.377659","10.8.0.6","137.50.19.137","52","60570","0.000006000"
"28","1563559095.377704","137.50.19.137","10.8.0.6","1398","31088",""
"29","1563559095.377790","137.50.19.137","10.8.0.6","1398","31088",""
"30","1563559095.377799","10.8.0.6","137.50.19.137","52","64608","0.000009000"
"31","1563559095.377955","137.50.19.137","10.8.0.6","1398","31088",""
"32","1563559095.385149","137.50.19.137","10.8.0.6","1398","31088",""
"33","1563559095.385158","10.8.0.6","137.50.19.137","52","64608","0.000009000"
"34","1563559096.098829","137.50.19.137","10.8.0.6","1398","31088",""
"35","1563559096.098932","137.50.19.137","10.8.0.6","1398","31088",""
"36","1563559096.098959","10.8.0.6","137.50.19.137","52","64608","0.000027000"
"37","1563559096.098996","137.50.19.137","10.8.0.6","1398","31088",""
"38","1563559096.099068","137.50.19.137","10.8.0.6","1398","31088",""
"39","1563559096.099084","10.8.0.6","137.50.19.137","52","64608","0.000016000"
"40","1563559096.099118","137.50.19.137","10.8.0.6","1398","31088",""
"41","1563559096.099196","137.50.19.137","10.8.0.6","1398","31088",""
"42","1563559096.099210","10.8.0.6","137.50.19.137","52","64608","0.000014000"
"43","1563559096.099244","137.50.19.137","10.8.0.6","1398","31088",""
"44","1563559096.099316","137.50.19.137","10.8.0.6","1398","31088",""
"45","1563559096.099328","10.8.0.6","137.50.19.137","52","64608","0.000012000"
"46","1563559096.099359","137.50.19.137","10.8.0.6","1398","31088",""
"47","1563559096.099393","137.50.19.137","10.8.0.6","1398","31088",""
"48","1563559096.099424","10.8.0.6","137.50.19.137","52","64608","0.000031000"
"49","1563559096.099461","137.50.19.137","10.8.0.6","1398","31088",""
"50","1563559096.099498","137.50.19.137","10.8.0.6","1398","31088",""
"51","1563559096.099511","10.8.0.6","137.50.19.137","52","64608","0.000013000"
"52","1563559096.099668","137.50.19.137","10.8.0.6","1398","31088",""
"53","1563559096.099821","137.50.19.137","10.8.0.6","1398","31088",""
"54","1563559096.099834","10.8.0.6","137.50.19.137","52","64608","0.000013000"
"55","1563559096.099865","137.50.19.137","10.8.0.6","1398","31088",""
"56","1563559096.099987","137.50.19.137","10.8.0.6","1398","31088",""
"57","1563559096.100000","10.8.0.6","137.50.19.137","52","64608","0.000013000"
"58","1563559096.100121","137.50.19.137","10.8.0.6","1398","31088",""
"59","1563559096.100251","137.50.19.137","10.8.0.6","1398","31088",""
"60","1563559096.100268","10.8.0.6","137.50.19.137","52","64608","0.000017000"
"61","1563559096.100384","137.50.19.137","10.8.0.6","1398","31088",""
"62","1563559096.105282","137.50.19.137","10.8.0.6","1398","31088",""
"63","1563559096.105300","10.8.0.6","137.50.19.137","52","64608","0.000018000"
"64","1563559096.818891","137.50.19.137","10.8.0.6","1398","31088",""
"65","1563559096.819016","137.50.19.137","10.8.0.6","1398","31088",""
"66","1563559096.819071","10.8.0.6","137.50.19.137","52","64608","0.000055000"
"67","1563559096.819140","137.50.19.137","10.8.0.6","1398","31088",""
"68","1563559096.819233","137.50.19.137","10.8.0.6","1398","31088",""
"69","1563559096.819253","10.8.0.6","137.50.19.137","52","64608","0.000020000"
"70","1563559096.819334","137.50.19.137","10.8.0.6","1398","31088",""
"71","1563559096.819385","137.50.19.137","10.8.0.6","1398","31088",""
"72","1563559096.819402","10.8.0.6","137.50.19.137","52","64608","0.000017000"
"73","1563559096.819488","137.50.19.137","10.8.0.6","1398","31088",""
"74","1563559096.819561","137.50.19.137","10.8.0.6","1398","31088",""
"75","1563559096.819575","10.8.0.6","137.50.19.137","52","64608","0.000014000"
"76","1563559096.819609","137.50.19.137","10.8.0.6","1398","31088",""
"77","1563559096.819649","137.50.19.137","10.8.0.6","1398","31088",""
"78","1563559096.819684","10.8.0.6","137.50.19.137","52","64608","0.000035000"
"79","1563559096.819733","137.50.19.137","10.8.0.6","1398","31088",""
"80","1563559096.819771","137.50.19.137","10.8.0.6","1398","31088",""
"81","1563559096.819783","10.8.0.6","137.50.19.137","52","64608","0.000012000"
"82","1563559096.819850","137.50.19.137","10.8.0.6","1398","31088",""
"83","1563559096.819877","137.50.19.137","10.8.0.6","1398","31088",""
"84","1563559096.819890","10.8.0.6","137.50.19.137","52","64608","0.000013000"
"85","1563559096.826108","137.50.19.137","10.8.0.6","1398","31088",""
"86","1563559096.826168","137.50.19.137","10.8.0.6","1398","31088",""
"87","1563559096.826187","10.8.0.6","137.50.19.137","52","64608","0.000019000"
"88","1563559096.826215","137.50.19.137","10.8.0.6","1398","31088",""
"89","1563559096.826240","137.50.19.137","10.8.0.6","1398","31088",""
"90","1563559096.826248","10.8.0.6","137.50.19.137","52","64608","0.000008000"
"91","1563559096.826270","137.50.19.137","10.8.0.6","1398","31088",""
"92","1563559096.836532","137.50.19.137","10.8.0.6","1398","31088",""
"93","1563559096.836593","10.8.0.6","137.50.19.137","52","64608","0.000061000"
"94","1563559096.856164","137.50.19.137","10.8.0.6","1398","31088",""
"95","1563559096.856180","137.50.19.137","10.8.0.6","1398","31088",""
"96","1563559096.856187","10.8.0.6","137.50.19.137","52","64608","0.000007000"
"97","1563559096.866655","137.50.19.137","10.8.0.6","1398","31088",""
"98","1563559096.866713","137.50.19.137","10.8.0.6","1398","31088",""
"99","1563559096.866722","10.8.0.6","137.50.19.137","52","64608","0.000009000"
"100","1563559096.866739","137.50.19.137","10.8.0.6","1398","31088",""
"101","1563559096.866770","137.50.19.137","10.8.0.6","1398","31088",""
"102","1563559096.866774","10.8.0.6","137.50.19.137","52","64608","0.000004000"
"103","1563559096.866782","137.50.19.137","10.8.0.6","1398","31088",""
"104","1563559096.866928","137.50.19.137","10.8.0.6","1398","31088",""
"105","1563559096.866934","10.8.0.6","137.50.19.137","52","64608","0.000006000"
"106","1563559096.866998","137.50.19.137","10.8.0.6","1398","31088",""
"107","1563559096.867164","137.50.19.137","10.8.0.6","1398","31088",""
"108","1563559096.867170","10.8.0.6","137.50.19.137","52","64608","0.000006000"
"109","1563559096.867273","137.50.19.137","10.8.0.6","1398","31088",""
"110","1563559096.867416","137.50.19.137","10.8.0.6","1398","31088",""
"111","1563559096.867422","10.8.0.6","137.50.19.137","52","64608","0.000006000"
"112","1563559096.869205","137.50.19.137","10.8.0.6","1398","31088",""
"113","1563559096.869222","137.50.19.137","10.8.0.6","1398","31088",""
"114","1563559096.869229","10.8.0.6","137.50.19.137","52","64608","0.000007000"
"115","1563559096.869236","137.50.19.137","10.8.0.6","1398","31088",""
"116","1563559096.869425","137.50.19.137","10.8.0.6","1398","31088",""
