"No.","Time","Source","Destination","Length","wsize","ack_rtt"
"1","1563306251.655780","10.8.0.6","137.50.19.137","60","29200",""
"2","1563306251.656477","137.50.19.137","10.8.0.6","60","28960","0.000697000"
"3","1563306252.365397","10.8.0.6","137.50.19.137","52","229","0.708920000"
"4","1563306252.411630","10.8.0.6","137.50.19.137","273","229",""
"5","1563306252.412255","137.50.19.137","10.8.0.6","52","235","0.000625000"
"6","1563306252.413613","137.50.19.137","10.8.0.6","1398","235",""
"7","1563306252.413621","137.50.19.137","10.8.0.6","1398","235",""
"8","1563306252.413623","137.50.19.137","10.8.0.6","1398","235",""
"9","1563306252.413625","137.50.19.137","10.8.0.6","110","235",""
"10","1563306252.413633","137.50.19.137","10.8.0.6","384","235",""
"11","1563306253.133079","10.8.0.6","137.50.19.137","52","251","0.719466000"
"12","1563306253.133131","10.8.0.6","137.50.19.137","52","274","0.719510000"
"13","1563306253.175073","10.8.0.6","137.50.19.137","52","296","0.761450000"
"14","1563306253.175140","10.8.0.6","137.50.19.137","52","296","0.761515000"
"15","1563306253.175590","10.8.0.6","137.50.19.137","52","318","0.761957000"
"16","1563306253.219952","10.8.0.6","137.50.19.137","178","318",""
"17","1563306253.220904","137.50.19.137","10.8.0.6","326","235","0.000952000"
"18","1563306253.898452","10.8.0.6","137.50.19.137","235","339","0.677548000"
"19","1563306253.900608","137.50.19.137","10.8.0.6","1398","243","0.002156000"
"20","1563306253.900616","137.50.19.137","10.8.0.6","1398","243",""
"21","1563306253.900618","137.50.19.137","10.8.0.6","1398","243",""
"22","1563306253.900620","137.50.19.137","10.8.0.6","1398","243",""
"23","1563306253.900622","137.50.19.137","10.8.0.6","1398","243",""
"24","1563306253.900624","137.50.19.137","10.8.0.6","1398","243",""
"25","1563306253.900644","137.50.19.137","10.8.0.6","1398","243",""
"26","1563306253.900646","137.50.19.137","10.8.0.6","1398","243",""
"27","1563306253.900649","137.50.19.137","10.8.0.6","1398","243",""
"28","1563306253.900651","137.50.19.137","10.8.0.6","1398","243",""
"29","1563306254.569694","10.8.0.6","137.50.19.137","52","384","0.669078000"
"30","1563306254.569735","10.8.0.6","137.50.19.137","52","429","0.669115000"
"31","1563306254.570176","137.50.19.137","10.8.0.6","1398","243",""
"32","1563306254.570180","137.50.19.137","10.8.0.6","1398","243",""
"33","1563306254.570181","137.50.19.137","10.8.0.6","1398","243",""
"34","1563306254.570183","137.50.19.137","10.8.0.6","1398","243",""
"35","1563306254.570295","137.50.19.137","10.8.0.6","1398","243",""
"36","1563306254.570298","137.50.19.137","10.8.0.6","1398","243",""
"37","1563306254.570299","137.50.19.137","10.8.0.6","1398","243",""
"38","1563306254.570301","137.50.19.137","10.8.0.6","1398","243",""
"39","1563306254.570584","10.8.0.6","137.50.19.137","52","474","0.669960000"
"40","1563306254.570989","137.50.19.137","10.8.0.6","1398","243",""
"41","1563306254.570992","137.50.19.137","10.8.0.6","1398","243",""
"42","1563306254.570993","137.50.19.137","10.8.0.6","1398","243",""
"43","1563306254.570994","137.50.19.137","10.8.0.6","1398","243",""
"44","1563306254.615558","10.8.0.6","137.50.19.137","52","520","0.714912000"
"45","1563306254.615586","10.8.0.6","137.50.19.137","52","565","0.714935000"
"46","1563306254.616041","137.50.19.137","10.8.0.6","1398","243",""
"47","1563306254.616044","137.50.19.137","10.8.0.6","1398","243",""
"48","1563306254.616046","137.50.19.137","10.8.0.6","1398","243",""
"49","1563306254.616048","137.50.19.137","10.8.0.6","1398","243",""
"50","1563306254.616203","137.50.19.137","10.8.0.6","1398","243",""
"51","1563306254.616206","137.50.19.137","10.8.0.6","1398","243",""
"52","1563306254.616207","137.50.19.137","10.8.0.6","1398","243",""
"53","1563306254.616208","137.50.19.137","10.8.0.6","1398","243",""
"54","1563306255.242598","10.8.0.6","137.50.19.137","52","610","0.672418000"
"55","1563306255.242630","10.8.0.6","137.50.19.137","52","655","0.672447000"
"56","1563306255.243138","137.50.19.137","10.8.0.6","1398","243",""
"57","1563306255.243142","137.50.19.137","10.8.0.6","1398","243",""
"58","1563306255.243143","137.50.19.137","10.8.0.6","1398","243",""
"59","1563306255.243145","137.50.19.137","10.8.0.6","1398","243",""
"60","1563306255.243281","137.50.19.137","10.8.0.6","1398","243",""
"61","1563306255.243284","137.50.19.137","10.8.0.6","1398","243",""
"62","1563306255.243286","137.50.19.137","10.8.0.6","1398","243",""
"63","1563306255.243287","137.50.19.137","10.8.0.6","1398","243",""
"64","1563306255.243659","10.8.0.6","137.50.19.137","52","701","0.673361000"
"65","1563306255.244229","137.50.19.137","10.8.0.6","1398","243",""
"66","1563306255.244234","137.50.19.137","10.8.0.6","1398","243",""
"67","1563306255.244236","137.50.19.137","10.8.0.6","1398","243",""
"68","1563306255.244238","137.50.19.137","10.8.0.6","1398","243",""
"69","1563306255.296389","10.8.0.6","137.50.19.137","52","746","0.726088000"
"70","1563306255.296417","10.8.0.6","137.50.19.137","52","791","0.725425000"
"71","1563306255.297007","137.50.19.137","10.8.0.6","1398","243",""
"72","1563306255.297012","137.50.19.137","10.8.0.6","1398","243",""
"73","1563306255.297014","137.50.19.137","10.8.0.6","1398","243",""
"74","1563306255.297016","137.50.19.137","10.8.0.6","1398","243",""
"75","1563306255.297066","137.50.19.137","10.8.0.6","1398","243",""
"76","1563306255.297068","137.50.19.137","10.8.0.6","1398","243",""
"77","1563306255.297071","137.50.19.137","10.8.0.6","1398","243",""
"78","1563306255.297073","137.50.19.137","10.8.0.6","1398","243",""
"79","1563306255.332226","10.8.0.6","137.50.19.137","52","836","0.761232000"
"80","1563306255.332283","10.8.0.6","137.50.19.137","52","882","0.716239000"
"81","1563306255.332743","137.50.19.137","10.8.0.6","1398","243",""
"82","1563306255.332745","137.50.19.137","10.8.0.6","1398","243",""
"83","1563306255.332746","137.50.19.137","10.8.0.6","1398","243",""
"84","1563306255.332747","137.50.19.137","10.8.0.6","1398","243",""
"85","1563306255.332758","10.8.0.6","137.50.19.137","52","927","0.716710000"
"86","1563306255.332912","137.50.19.137","10.8.0.6","1398","243",""
"87","1563306255.332915","137.50.19.137","10.8.0.6","1398","243",""
"88","1563306255.332917","137.50.19.137","10.8.0.6","1398","243",""
"89","1563306255.332918","137.50.19.137","10.8.0.6","1398","243",""
"90","1563306255.333046","137.50.19.137","10.8.0.6","1398","243",""
"91","1563306255.333048","137.50.19.137","10.8.0.6","1398","243",""
"92","1563306255.333050","137.50.19.137","10.8.0.6","1398","243",""
"93","1563306255.333052","137.50.19.137","10.8.0.6","1398","243",""
"94","1563306255.388398","10.8.0.6","137.50.19.137","52","972","0.772192000"
"95","1563306255.389031","137.50.19.137","10.8.0.6","1398","243",""
"96","1563306255.389035","137.50.19.137","10.8.0.6","1398","243",""
"97","1563306255.389036","137.50.19.137","10.8.0.6","1398","243",""
"98","1563306255.389038","137.50.19.137","10.8.0.6","1398","243",""
"99","1563306255.422218","10.8.0.6","137.50.19.137","52","1017","0.806010000"
"100","1563306255.422895","137.50.19.137","10.8.0.6","1398","243",""
"101","1563306255.422900","137.50.19.137","10.8.0.6","1398","243",""
"102","1563306255.422902","137.50.19.137","10.8.0.6","1398","243",""
"103","1563306255.422903","137.50.19.137","10.8.0.6","1398","243",""
"104","1563306255.917915","10.8.0.6","137.50.19.137","52","1063","0.674773000"
"105","1563306255.917966","10.8.0.6","137.50.19.137","52","1108","0.674821000"
"106","1563306255.918439","137.50.19.137","10.8.0.6","1398","243",""
"107","1563306255.918443","137.50.19.137","10.8.0.6","1398","243",""
"108","1563306255.918445","137.50.19.137","10.8.0.6","1398","243",""
"109","1563306255.918446","137.50.19.137","10.8.0.6","1398","243",""
"110","1563306255.918475","137.50.19.137","10.8.0.6","1398","243",""
